year,animal_product_export
1995,10414.3
1996,14136.8
1997,18664.2
1998,18793.2
1999,21864.5
2000,23102.5
2001,26369.2
2002,28864.2
2003,22505.4
2004,18354.9
2005,19608.4
2006,25662.1
2007,26733
2008,31641.5
2009,45808.8
2010,69384.3
2011,39946.9
2012,24237.3
2013,24224.1
2014,16513.5
2015,26382
2016,29242.2
2017,67416.8
2018,102121.2
